port_name,year,capacity_teu
Busan,2018,1799316.3333333333
Busan,2019,1826905.5833333333
Busan,2020,1794197.7
Daesan,2018,7567.916666666667
Daesan,2019,6155.833333333333
Daesan,2020,8599.2
"East Sea, Mukho",2018,163.33333333333334
"East Sea, Mukho",2019,154.91666666666666
"East Sea, Mukho",2020,0.0
Gunsan,2018,6683.166666666667
Gunsan,2019,6692.833333333333
Gunsan,2020,5628.4
Gwangyang,2018,200493.75
Gwangyang,2019,197954.08333333334
Gwangyang,2020,183123.2
Gyeongin Port,2018,1777.3333333333333
Gyeongin Port,2019,2277.3333333333335
Gyeongin Port,2020,1913.0
Incheon,2018,259420.625
Incheon,2019,256790.83333333334
Incheon,2020,249893.6
Masan,2018,1703.1666666666667
Masan,2019,1147.0416666666667
Masan,2020,1041.1
Mokpo,2018,10766.666666666666
Mokpo,2019,7715.291666666667
Mokpo,2020,6992.5
Pohang,2018,9674.0
Pohang,2019,9987.833333333334
Pohang,2020,7492.2
"Pyeongtaek, Dangjin",2018,57484.916666666664
"Pyeongtaek, Dangjin",2019,60418.583333333336
"Pyeongtaek, Dangjin",2020,58849.4
Ulsan,2018,40812.083333333336
Ulsan,2019,43104.166666666664
Ulsan,2020,43038.2
